date, gini
2011-08-07, 0.983155724863325
2013-04-06, 0.9971728217080766
2016-09-15, 0.9993841101056821
2012-07-20, 0.9945035894241172
2012-05-13, 0.9922566866487742
2015-12-24, 0.9991091844650217
2015-01-22, 0.9990103474879939
2009-01-03, 0.0
2015-08-15, 0.9992194567367448
2010-04-10, 0.32652214808416014
2010-02-13, 0.228458412156765
2017-06-06, 0.9993867215450364
2015-06-08, 0.9991355922095948
2015-10-22, 0.9992362603357001
2016-11-22, 0.9993649192571944
2012-03-07, 0.9906425757742399
2011-12-31, 0.9896164167576261
2017-10-03, 0.9994173687130085
2013-06-06, 0.997513565065938
2013-02-07, 0.9968623214656321
2014-09-10, 0.998808332447346
2014-01-12, 0.9983150728531889
2014-11-14, 0.9988969102879226
2012-11-28, 0.9958588919820192
2010-12-29, 0.8282425552420738
2010-06-09, 0.48033710606581287
2009-12-16, 0.1741643038830126
2017-01-25, 0.9993675531394259
2009-04-06, 0.11213694560131243
2013-11-16, 0.9981473213745397
2010-09-16, 0.6918566702586475
2014-05-10, 0.9985184644571989
2014-03-11, 0.9983121225111914
2017-08-10, 0.9994420881879242
2011-06-11, 0.9649534458779974
2011-02-23, 0.8875239842767573
2010-11-06, 0.7730952752616572
2011-04-24, 0.933001221013342
2013-09-25, 0.9979756743759582
2011-10-20, 0.988224447001351
2016-07-09, 0.9993697719895848
2010-07-24, 0.6071626619015031
2015-03-30, 0.9990817856634078
2009-07-22, 0.10597727665088419
2016-02-25, 0.9991956530068595
2016-05-03, 0.9993662614206569
2014-07-09, 0.9986599478030689
2012-09-22, 0.994821904924543
2013-08-03, 0.9978076530589957
2017-04-02, 0.9993984030922358
